Filename PupX PupY PupR PupQ IriX IriY IriR IriQ PuEX PuEY PuEA PuEB PuET PuEQ IrEX IrEY IrEA IrEB IrET IrEQ OPrUpA OPrUpX OPrUpY OPrUpQ 
2237(r-1-3)110707-115400_e_00_0010.bmp 321 244 39 100 319 244 106 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 319 171 35 
2237(r-1-3)110707-115400_e_01_0000.bmp 320 242 32 100 325 242 102 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 325 184 34 
2237(r-1-3)110707-115400_e_01_0001.bmp 320 242 32 100 326 242 103 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 327 181 35 
2237(r-1-3)110707-115400_e_01_0002.bmp 320 240 31 100 326 240 100 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 335 187 25 
2237(r-1-3)110707-115400_e_01_0003.bmp 320 242 33 100 327 242 100 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 327 184 34 
2237(r-1-3)110707-115400_e_01_0004.bmp 318 242 35 100 325 242 106 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 325 180 39 
2237(r-1-3)110707-115400_e_01_0005.bmp 319 241 41 100 326 241 103 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 327 178 40 
2237(r-1-3)110707-115400_e_01_0006.bmp 318 242 41 100 324 242 103 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 325 204 28 
2237(r-1-3)110707-115400_e_01_0007.bmp 319 243 45 87 326 243 114 100 0 0 0 0 0 0 0 0 0 0 0 0 1049 309 219 20 
2237(r-1-3)110707-115400_e_01_0008.bmp 319 243 44 100 325 243 111 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 326 170 42 
2237(r-1-3)110707-115400_e_01_0009.bmp 318 242 44 100 325 242 111 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 326 172 39 
2237(r-1-3)110707-115400_e_01_0010.bmp 320 244 44 100 325 244 107 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 326 174 37 
2246(r-1-3)110707-115400_e_00_0000.bmp 319 244 55 95 317 244 132 100 0 0 0 0 0 0 0 0 0 0 0 0 1049 335 165 23 
2246(r-1-3)110707-115400_e_00_0001.bmp 319 244 43 100 315 244 129 100 0 0 0 0 0 0 0 0 0 0 0 0 1049 299 152 24 
2246(r-1-3)110707-115400_e_00_0002.bmp 320 243 48 100 317 243 128 100 0 0 0 0 0 0 0 0 0 0 0 0 1049 283 152 21 
2246(r-1-3)110707-115400_e_00_0003.bmp 324 243 53 96 322 243 128 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 331 148 29 
2246(r-1-3)110707-115400_e_00_0004.bmp 320 243 54 98 317 243 127 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 327 142 26 
2246(r-1-3)110707-115400_e_00_0005.bmp 320 242 55 98 317 242 120 100 0 0 0 0 0 0 0 0 0 0 0 0 3146 323 140 25 
2246(r-1-3)110707-115400_e_00_0006.bmp 318 242 52 79 316 242 122 100 0 0 0 0 0 0 0 0 0 0 0 0 3146 322 140 28 
2246(r-1-3)110707-115400_e_00_0007.bmp 318 242 49 100 316 242 123 100 0 0 0 0 0 0 0 0 0 0 0 0 3146 323 131 25 
2246(r-1-3)110707-115400_e_00_0008.bmp 320 242 49 100 317 242 124 100 0 0 0 0 0 0 0 0 0 0 0 0 3146 323 129 24 
2246(r-1-3)110707-115400_e_00_0009.bmp 319 243 54 74 315 243 124 100 0 0 0 0 0 0 0 0 0 0 0 0 3146 321 137 22 
2246(r-1-3)110707-115400_e_00_0010.bmp 318 243 53 99 316 243 126 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 325 144 28 
2246(r-1-3)110707-115400_e_01_0000.bmp 321 243 57 62 322 243 139 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 306 143 27 
2246(r-1-3)110707-115400_e_01_0001.bmp 318 243 49 100 321 243 129 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 314 156 37 
2246(r-1-3)110707-115400_e_01_0002.bmp 319 241 55 87 322 241 128 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 314 154 40 
2246(r-1-3)110707-115400_e_01_0003.bmp 320 241 59 87 322 241 129 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 323 145 45 
2246(r-1-3)110707-115400_e_01_0004.bmp 319 241 57 96 323 241 125 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 316 146 50 
2246(r-1-3)110707-115400_e_01_0005.bmp 319 243 53 95 321 243 119 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 322 166 34 
2246(r-1-3)110707-115400_e_01_0006.bmp 318 243 56 97 321 243 120 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 321 150 35 
2246(r-1-3)110707-115400_e_01_0007.bmp 320 245 50 100 323 245 120 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 315 157 44 
2246(r-1-3)110707-115400_e_01_0008.bmp 319 242 49 100 322 242 121 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 315 148 38 
2246(r-1-3)110707-115400_e_01_0009.bmp 321 242 55 97 324 242 123 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 317 161 26 
2291(r-1-3)110707-115400_e_00_0000.bmp 322 241 56 28 318 241 108 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 310 185 39 
2291(r-1-3)110707-115400_e_00_0001.bmp 319 242 54 45 316 242 109 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 309 166 39 
2291(r-1-3)110707-115400_e_00_0002.bmp 319 241 58 62 314 241 111 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 315 165 41 
2291(r-1-3)110707-115400_e_00_0003.bmp 320 241 59 61 315 241 112 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 315 156 39 
2291(r-1-3)110707-115400_e_00_0004.bmp 320 242 58 74 315 242 113 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 308 163 37 
2291(r-1-3)110707-115400_e_00_0005.bmp 318 243 56 56 314 243 114 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 306 168 38 
2291(r-1-3)110707-115400_e_00_0006.bmp 317 237 61 27 314 237 114 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 314 154 39 
2291(r-1-3)110707-115400_e_00_0007.bmp 318 242 59 51 314 242 113 100 0 0 0 0 0 0 0 0 0 0 0 0 3146 310 154 39 
2291(r-1-3)110707-115400_e_00_0008.bmp 321 243 55 15 317 243 112 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 317 207 41 
2291(r-1-3)110707-115400_e_00_0009.bmp 320 242 59 52 315 242 113 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 308 164 43 
2291(r-1-3)110707-115400_e_01_0000.bmp 318 243 58 41 321 243 110 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 304 167 47 
2291(r-1-3)110707-115400_e_01_0001.bmp 320 242 57 53 323 242 111 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 307 173 49 
2291(r-1-3)110707-115400_e_01_0002.bmp 318 242 61 32 321 242 114 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 313 178 39 
2291(r-1-3)110707-115400_e_01_0003.bmp 319 242 60 60 322 242 114 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 314 164 43 
2291(r-1-3)110707-115400_e_01_0004.bmp 319 243 56 35 322 243 114 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 296 207 44 
2291(r-1-3)110707-115400_e_01_0005.bmp 320 240 61 39 322 240 114 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 305 174 48 
2291(r-1-3)110707-115400_e_01_0006.bmp 319 241 62 9 322 241 114 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 314 172 50 
2291(r-1-3)110707-115400_e_01_0007.bmp 319 241 61 24 321 241 113 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 314 171 45 
2291(r-1-3)110707-115400_e_01_0008.bmp 320 242 60 16 322 242 113 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 306 176 40 
2291(r-1-3)110707-115400_e_01_0009.bmp 319 243 60 23 321 243 113 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 305 177 44 
2292(r-1-3)110707-115400_e_00_0000.bmp 319 242 50 96 319 242 107 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 320 191 27 
2292(r-1-3)110707-115400_e_00_0001.bmp 319 242 47 100 318 242 104 100 0 0 0 0 0 0 0 0 0 0 0 0 1049 336 167 43 
2292(r-1-3)110707-115400_e_00_0002.bmp 318 242 46 100 317 242 104 100 0 0 0 0 0 0 0 0 0 0 0 0 1049 335 180 43 
2292(r-1-3)110707-115400_e_00_0003.bmp 335 247 45 100 336 247 103 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 320 187 27 
2292(r-1-3)110707-115400_e_00_0004.bmp 319 241 46 100 319 241 104 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 319 195 22 
2292(r-1-3)110707-115400_e_00_0005.bmp 319 242 42 100 318 242 103 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 319 187 38 
2292(r-1-3)110707-115400_e_00_0006.bmp 318 241 48 100 317 241 103 100 0 0 0 0 0 0 0 0 0 0 0 0 1049 353 185 41 
2292(r-1-3)110707-115400_e_00_0007.bmp 319 241 60 96 318 241 126 100 0 0 0 0 0 0 0 0 0 0 0 0 1049 336 173 58 
2292(r-1-3)110707-115400_e_00_0008.bmp 319 241 56 97 319 241 127 100 0 0 0 0 0 0 0 0 0 0 0 0 1049 320 157 43 
2292(r-1-3)110707-115400_e_00_0009.bmp 319 243 55 94 318 243 125 100 0 0 0 0 0 0 0 0 0 0 0 0 1049 337 168 51 
2292(r-1-3)110707-115400_e_00_0010.bmp 319 240 57 97 319 240 125 100 0 0 0 0 0 0 0 0 0 0 0 0 1049 338 174 50 
2292(r-1-3)110707-115400_e_00_0011.bmp 320 243 59 93 320 243 123 100 0 0 0 0 0 0 0 0 0 0 0 0 1049 339 170 49 
2292(r-1-3)110707-115400_e_00_0012.bmp 318 243 57 96 318 243 122 100 0 0 0 0 0 0 0 0 0 0 0 0 1049 336 167 35 
2292(r-1-3)110707-115400_e_01_0000.bmp 318 242 48 100 320 242 106 100 0 0 0 0 0 0 0 0 0 0 0 0 1049 286 191 38 
2292(r-1-3)110707-115400_e_01_0001.bmp 319 242 44 100 321 242 104 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 313 173 38 
2292(r-1-3)110707-115400_e_01_0002.bmp 320 242 44 95 322 242 103 100 0 0 0 0 0 0 0 0 0 0 0 0 1049 306 182 41 
2292(r-1-3)110707-115400_e_01_0003.bmp 318 242 36 100 322 242 99 100 0 0 0 0 0 0 0 0 0 0 0 0 1049 289 199 29 
2292(r-1-3)110707-115400_e_01_0004.bmp 317 241 40 100 321 241 103 100 0 0 0 0 0 0 0 0 0 0 0 0 1049 305 191 42 
2292(r-1-3)110707-115400_e_01_0005.bmp 320 243 42 100 323 243 104 100 0 0 0 0 0 0 0 0 0 0 0 0 3146 306 191 32 
2292(r-1-3)110707-115400_e_01_0006.bmp 320 242 56 79 322 242 127 100 0 0 0 0 0 0 0 0 0 0 0 0 1049 323 158 37 
2292(r-1-3)110707-115400_e_01_0007.bmp 318 241 55 82 321 241 126 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 304 177 37 
2292(r-1-3)110707-115400_e_01_0008.bmp 320 242 53 82 322 242 124 100 0 0 0 0 0 0 0 0 0 0 0 0 1049 305 166 42 
2292(r-1-3)110707-115400_e_01_0009.bmp 319 241 50 100 323 241 123 100 0 0 0 0 0 0 0 0 0 0 0 0 1049 307 167 41 
2292(r-1-3)110707-115400_e_01_0010.bmp 318 241 56 86 321 241 122 100 0 0 0 0 0 0 0 0 0 0 0 0 1049 304 181 32 
2292(r-1-3)110707-115400_e_01_0011.bmp 320 241 54 95 322 241 122 100 0 0 0 0 0 0 0 0 0 0 0 0 1049 305 167 45 
2309(r-1-3)110707-115400_e_00_0000.bmp 323 238 33 100 318 238 112 100 0 0 0 0 0 0 0 0 0 0 0 0 3146 324 162 42 
2309(r-1-3)110707-115400_e_00_0001.bmp 318 242 36 100 314 242 116 100 0 0 0 0 0 0 0 0 0 0 0 0 3146 320 165 42 
2309(r-1-3)110707-115400_e_00_0002.bmp 319 242 35 100 314 242 116 100 0 0 0 0 0 0 0 0 0 0 0 0 3146 314 164 40 
2309(r-1-3)110707-115400_e_00_0003.bmp 322 241 37 100 316 241 121 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 309 164 40 
2309(r-1-3)110707-115400_e_00_0004.bmp 320 245 39 100 313 245 123 100 0 0 0 0 0 0 0 0 0 0 0 0 3146 320 182 43 
2309(r-1-3)110707-115400_e_00_0005.bmp 318 242 38 100 313 242 125 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 306 156 32 
2309(r-1-3)110707-115400_e_00_0006.bmp 321 242 39 100 314 242 122 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 332 159 32 
2309(r-1-3)110707-115400_e_00_0007.bmp 317 240 36 96 312 240 110 100 0 0 0 0 0 0 0 0 0 0 0 0 3146 312 164 42 
2309(r-1-3)110707-115400_e_00_0008.bmp 319 242 35 100 315 242 110 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 315 161 35 
2309(r-1-3)110707-115400_e_00_0009.bmp 325 242 37 87 320 242 111 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 321 177 43 
2309(r-1-3)110707-115400_e_01_0000.bmp 324 243 34 100 328 243 111 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 338 158 32 
2309(r-1-3)110707-115400_e_01_0001.bmp 321 242 37 100 323 242 116 79 0 0 0 0 0 0 0 0 0 0 0 0 2097 332 150 42 
2309(r-1-3)110707-115400_e_01_0002.bmp 320 242 38 100 324 242 121 79 0 0 0 0 0 0 0 0 0 0 0 0 2097 325 174 50 
2309(r-1-3)110707-115400_e_01_0003.bmp 319 241 38 100 322 241 123 79 0 0 0 0 0 0 0 0 0 0 0 0 2097 332 146 37 
2309(r-1-3)110707-115400_e_01_0004.bmp 320 241 39 100 324 241 124 79 0 0 0 0 0 0 0 0 0 0 0 0 2097 324 158 45 
2309(r-1-3)110707-115400_e_01_0005.bmp 321 242 37 100 326 242 125 79 0 0 0 0 0 0 0 0 0 0 0 0 2097 336 143 36 
2309(r-1-3)110707-115400_e_01_0006.bmp 319 242 36 100 323 242 109 100 0 0 0 0 0 0 0 0 0 0 0 0 3146 330 155 33 
2309(r-1-3)110707-115400_e_01_0007.bmp 319 242 34 100 323 242 110 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 341 151 36 
2309(r-1-3)110707-115400_e_01_0008.bmp 319 241 36 100 323 241 111 79 0 0 0 0 0 0 0 0 0 0 0 0 2097 333 146 33 
2322(r-1-3)110707-115400_e_00_0000.bmp 319 242 55 86 317 242 138 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 282 129 25 
2322(r-1-3)110707-115400_e_00_0001.bmp 320 242 46 100 319 242 102 100 0 0 0 0 0 0 0 0 0 0 0 0 3146 302 158 30 
2322(r-1-3)110707-115400_e_00_0002.bmp 318 241 58 76 317 241 117 100 0 0 0 0 0 0 0 0 0 0 0 0 3146 301 141 34 
2322(r-1-3)110707-115400_e_00_0003.bmp 317 242 60 70 316 242 118 100 0 0 0 0 0 0 0 0 0 0 0 0 3146 305 140 29 
2322(r-1-3)110707-115400_e_00_0004.bmp 320 242 56 71 319 242 120 100 0 0 0 0 0 0 0 0 0 0 0 0 3146 308 140 23 
2322(r-1-3)110707-115400_e_00_0005.bmp 318 243 61 76 316 243 119 100 0 0 0 0 0 0 0 0 0 0 0 0 3146 300 142 28 
2322(r-1-3)110707-115400_e_00_0006.bmp 318 242 62 63 318 242 120 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 283 142 25 
2322(r-1-3)110707-115400_e_00_0007.bmp 319 242 58 72 317 242 121 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 283 146 32 
2322(r-1-3)110707-115400_e_00_0008.bmp 319 244 62 71 318 244 121 100 0 0 0 0 0 0 0 0 0 0 0 0 3146 302 142 23 
2322(r-1-3)110707-115400_e_00_0009.bmp 318 242 62 71 317 242 123 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 292 123 19 
2322(r-1-3)110707-115400_e_00_0010.bmp 318 242 64 63 317 242 122 100 0 0 0 0 0 0 0 0 0 0 0 0 3146 306 140 20 
2322(r-1-3)110707-115400_e_00_0011.bmp 317 244 53 73 316 244 124 100 0 0 0 0 0 0 0 0 0 0 0 0 3146 293 126 18 
2322(r-1-3)110707-115400_e_00_0012.bmp 319 243 63 71 317 243 124 100 0 0 0 0 0 0 0 0 0 0 0 0 1049 265 123 28 
2322(r-1-3)110707-115400_e_01_0000.bmp 319 241 66 87 322 241 140 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 331 124 27 
2322(r-1-3)110707-115400_e_01_0001.bmp 320 242 54 65 322 242 105 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 332 155 32 
2322(r-1-3)110707-115400_e_01_0002.bmp 318 244 64 81 320 244 122 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 320 139 32 
2322(r-1-3)110707-115400_e_01_0003.bmp 319 241 65 71 321 241 122 100 0 0 0 0 0 0 0 0 0 0 0 0 3146 321 132 29 
2322(r-1-3)110707-115400_e_01_0004.bmp 318 241 65 74 320 241 123 100 0 0 0 0 0 0 0 0 0 0 0 0 3146 321 133 30 
2322(r-1-3)110707-115400_e_01_0005.bmp 319 241 68 84 321 241 122 100 0 0 0 0 0 0 0 0 0 0 0 0 3146 321 133 30 
2322(r-1-3)110707-115400_e_01_0006.bmp 319 242 70 80 320 242 125 100 0 0 0 0 0 0 0 0 0 0 0 0 3146 321 133 26 
2322(r-1-3)110707-115400_e_01_0007.bmp 318 242 67 71 320 242 125 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 321 138 31 
2322(r-1-3)110707-115400_e_01_0008.bmp 318 243 68 80 320 243 125 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 321 137 33 
2322(r-1-3)110707-115400_e_01_0009.bmp 319 242 70 66 320 242 125 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 321 137 36 
2322(r-1-3)110707-115400_e_01_0010.bmp 317 243 70 68 319 243 126 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 319 137 33 
2322(r-1-3)110707-115400_e_01_0011.bmp 318 241 61 67 319 241 126 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 319 135 32 
2322(r-1-3)110707-115400_e_01_0012.bmp 318 242 72 64 319 242 127 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 320 133 32 
2415(r-1-3)110707-115400_e_00_0000.bmp 314 238 38 100 309 238 101 100 0 0 0 0 0 0 0 0 0 0 0 0 3146 322 186 39 
2415(r-1-3)110707-115400_e_00_0001.bmp 319 242 45 96 313 242 107 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 332 185 40 
2415(r-1-3)110707-115400_e_00_0002.bmp 319 242 44 100 314 242 106 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 332 189 34 
2415(r-1-3)110707-115400_e_00_0003.bmp 318 242 45 96 312 242 107 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 340 186 31 
2415(r-1-3)110707-115400_e_00_0004.bmp 319 242 42 100 312 242 107 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 331 188 40 
2415(r-1-3)110707-115400_e_00_0005.bmp 319 242 46 100 311 242 109 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 330 187 35 
2415(r-1-3)110707-115400_e_00_0006.bmp 319 242 47 96 312 242 107 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 331 185 33 
2415(r-1-3)110707-115400_e_00_0007.bmp 319 242 48 100 313 242 108 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 331 187 32 
2415(r-1-3)110707-115400_e_00_0008.bmp 318 241 44 100 311 241 108 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 329 187 30 
2415(r-1-3)110707-115400_e_00_0009.bmp 320 242 47 96 313 242 109 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 332 186 31 
2415(r-1-3)110707-115400_e_00_0010.bmp 318 242 47 100 311 242 108 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 329 186 32 
2415(r-1-3)110707-115400_e_01_0000.bmp 318 240 36 100 324 240 103 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 308 176 30 
2415(r-1-3)110707-115400_e_01_0001.bmp 318 242 41 100 324 242 108 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 307 180 28 
2415(r-1-3)110707-115400_e_01_0002.bmp 318 244 37 100 323 244 107 100 0 0 0 0 0 0 0 0 0 0 0 0 0 320 177 1 
2415(r-1-3)110707-115400_e_01_0003.bmp 318 242 39 100 324 242 108 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 307 181 21 
2415(r-1-3)110707-115400_e_01_0004.bmp 318 242 39 100 324 242 109 100 0 0 0 0 0 0 0 0 0 0 0 0 0 320 184 1 
2415(r-1-3)110707-115400_e_01_0005.bmp 318 242 41 100 323 242 109 100 0 0 0 0 0 0 0 0 0 0 0 0 1049 307 187 32 
2415(r-1-3)110707-115400_e_01_0006.bmp 320 244 40 100 326 244 109 100 0 0 0 0 0 0 0 0 0 0 0 0 0 320 191 1 
2415(r-1-3)110707-115400_e_01_0007.bmp 318 242 40 100 324 242 110 100 0 0 0 0 0 0 0 0 0 0 0 0 0 320 180 1 
2415(r-1-3)110707-115400_e_01_0008.bmp 318 242 42 100 324 242 111 100 0 0 0 0 0 0 0 0 0 0 0 0 0 320 184 1 
2415(r-1-3)110707-115400_e_01_0009.bmp 319 243 41 100 323 243 111 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 316 177 28 
2415(r-1-3)110707-115400_e_01_0010.bmp 320 243 40 100 325 243 112 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 317 177 34 
2420(r-1-3)110707-115400_e_00_0000.bmp 318 239 54 56 316 239 120 100 0 0 0 0 0 0 0 0 0 0 0 0 1049 192 178 44 
2420(r-1-3)110707-115400_e_00_0001.bmp 319 244 55 48 316 244 118 100 0 0 0 0 0 0 0 0 0 0 0 0 1049 210 191 46 
2420(r-1-3)110707-115400_e_00_0002.bmp 318 246 57 56 314 246 117 100 0 0 0 0 0 0 0 0 0 0 0 0 0 320 225 1 
2420(r-1-3)110707-115400_e_00_0003.bmp 321 241 59 64 318 241 124 100 0 0 0 0 0 0 0 0 0 0 0 0 0 320 142 1 
2420(r-1-3)110707-115400_e_00_0004.bmp 319 242 60 60 315 242 117 100 0 0 0 0 0 0 0 0 0 0 0 0 1049 299 154 46 
2420(r-1-3)110707-115400_e_00_0005.bmp 320 240 57 53 317 240 116 100 0 0 0 0 0 0 0 0 0 0 0 0 0 320 160 1 
2420(r-1-3)110707-115400_e_00_0006.bmp 316 243 60 55 313 243 119 100 0 0 0 0 0 0 0 0 0 0 0 0 0 320 169 1 
2420(r-1-3)110707-115400_e_00_0007.bmp 319 243 58 57 318 243 119 100 0 0 0 0 0 0 0 0 0 0 0 0 0 320 174 1 
2420(r-1-3)110707-115400_e_00_0008.bmp 319 241 60 73 316 241 118 100 0 0 0 0 0 0 0 0 0 0 0 0 1049 282 170 47 
2420(r-1-3)110707-115400_e_00_0009.bmp 317 243 59 76 313 243 118 100 0 0 0 0 0 0 0 0 0 0 0 0 0 320 174 1 
2420(r-1-3)110707-115400_e_00_0010.bmp 319 243 64 63 316 243 120 100 0 0 0 0 0 0 0 0 0 0 0 0 1049 282 171 50 
2420(r-1-3)110707-115400_e_01_0000.bmp 318 241 61 64 320 241 119 100 0 0 0 0 0 0 0 0 0 0 0 0 1049 410 155 29 
2420(r-1-3)110707-115400_e_01_0001.bmp 320 244 60 63 321 244 122 100 0 0 0 0 0 0 0 0 0 0 0 0 1049 446 183 42 
2420(r-1-3)110707-115400_e_01_0002.bmp 318 244 61 72 321 244 118 100 0 0 0 0 0 0 0 0 0 0 0 0 1049 410 175 43 
2420(r-1-3)110707-115400_e_01_0003.bmp 323 240 64 75 325 240 124 100 0 0 0 0 0 0 0 0 0 0 0 0 0 320 139 1 
2420(r-1-3)110707-115400_e_01_0004.bmp 321 242 64 56 324 242 122 100 0 0 0 0 0 0 0 0 0 0 0 0 1049 324 148 41 
2420(r-1-3)110707-115400_e_01_0005.bmp 319 243 63 64 320 243 121 100 0 0 0 0 0 0 0 0 0 0 0 0 1049 339 153 44 
2420(r-1-3)110707-115400_e_01_0006.bmp 319 242 62 64 321 242 117 100 0 0 0 0 0 0 0 0 0 0 0 0 1049 322 156 45 
2420(r-1-3)110707-115400_e_01_0007.bmp 317 243 61 69 320 243 119 100 0 0 0 0 0 0 0 0 0 0 0 0 1049 321 158 46 
2420(r-1-3)110707-115400_e_01_0008.bmp 318 243 63 62 322 243 118 100 0 0 0 0 0 0 0 0 0 0 0 0 1049 340 159 46 
2420(r-1-3)110707-115400_e_01_0009.bmp 319 240 64 64 323 240 121 100 0 0 0 0 0 0 0 0 0 0 0 0 1049 342 154 48 
2420(r-1-3)110707-115400_e_01_0010.bmp 320 242 65 64 323 242 119 100 0 0 0 0 0 0 0 0 0 0 0 0 1049 324 159 50 
2439(r-1-3)110707-115400_e_00_0000.bmp 320 240 58 60 317 240 122 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 326 175 50 
2439(r-1-3)110707-115400_e_00_0001.bmp 318 242 52 90 315 242 114 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 324 182 53 
2439(r-1-3)110707-115400_e_00_0002.bmp 319 242 50 100 315 242 113 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 325 181 55 
2439(r-1-3)110707-115400_e_00_0003.bmp 318 241 58 81 315 241 114 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 324 172 51 
2439(r-1-3)110707-115400_e_00_0004.bmp 318 241 56 97 315 241 114 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 324 174 45 
2439(r-1-3)110707-115400_e_00_0005.bmp 319 242 58 79 316 242 113 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 326 181 45 
2439(r-1-3)110707-115400_e_00_0006.bmp 320 241 57 94 317 241 112 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 326 178 53 
2439(r-1-3)110707-115400_e_00_0007.bmp 320 243 55 90 318 243 112 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 327 177 53 
2439(r-1-3)110707-115400_e_00_0008.bmp 318 241 55 88 315 241 113 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 325 178 54 
2439(r-1-3)110707-115400_e_00_0009.bmp 318 242 54 90 315 242 114 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 324 181 59 
2439(r-1-3)110707-115400_e_01_0000.bmp 318 242 56 77 323 242 114 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 315 183 35 
2439(r-1-3)110707-115400_e_01_0001.bmp 320 241 54 85 325 241 112 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 317 184 41 
2439(r-1-3)110707-115400_e_01_0002.bmp 318 242 54 83 322 242 112 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 314 182 44 
2439(r-1-3)110707-115400_e_01_0003.bmp 319 242 58 88 323 242 112 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 315 185 43 
2439(r-1-3)110707-115400_e_01_0004.bmp 320 241 58 89 324 241 112 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 316 181 39 
2439(r-1-3)110707-115400_e_01_0005.bmp 318 242 59 93 321 242 111 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 305 183 36 
